model_version,model_kind,reducer_mode_scc,model_name,model_path,task,train_epochs,datasplit,aggregation,n_samples,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,precision_weighted,recall_macro,recall_weighted,model_kind_reducer
200,xeegnet_scc,node,xeegnet_scc_model_reducermode_node_v200.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_node_v200.pt,cn_ad,,train,window,8445,0.9047957371225577,0.9013875088947287,0.9024373575812279,0.9046628200730082,0.9036355112734402,0.9046719350853051,0.9013875088947287,0.9047957371225577,xeegnet_scc_node
200,xeegnet_scc,node,xeegnet_scc_model_reducermode_node_v200.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_node_v200.pt,cn_ad,,train,subject_majority,41,0.9512195121951219,0.9497549019607843,0.9497549019607843,0.9512195121951219,0.9497549019607843,0.9512195121951219,0.9497549019607843,0.9512195121951219,xeegnet_scc_node
200,xeegnet_scc,node,xeegnet_scc_model_reducermode_node_v200.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_node_v200.pt,cn_ad,,val,window,2293,0.7815089402529437,0.778934792249698,0.7796608544063015,0.7810953210396476,0.781055895835741,0.7813432352910097,0.778934792249698,0.7815089402529437,xeegnet_scc_node
200,xeegnet_scc,node,xeegnet_scc_model_reducermode_node_v200.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_node_v200.pt,cn_ad,,val,subject_majority,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,xeegnet_scc_node
200,xeegnet_scc,edge,xeegnet_scc_model_reducermode_edge_v200.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_edge_v200.pt,cn_ad,,test,window,2544,0.7224842767295597,0.7197833863275039,0.72027672305579,0.7219958798990797,0.7213366355210327,0.7220684646974848,0.7197833863275039,0.7224842767295597,xeegnet_scc_edge
200,xeegnet_scc,edge,xeegnet_scc_model_reducermode_edge_v200.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_edge_v200.pt,cn_ad,,test,subject_majority,12,0.75,0.75,0.7482517482517483,0.7482517482517483,0.7571428571428571,0.7571428571428571,0.75,0.75,xeegnet_scc_edge
200,xeegnet_scc,edge,xeegnet_scc_model_reducermode_edge_v200.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_edge_v200.pt,cn_ad,,train,window,8445,0.9668442865600947,0.9652981767568745,0.9660584381656685,0.9668161550222397,0.9668800702793459,0.9668467599651821,0.9652981767568745,0.9668442865600947,xeegnet_scc_edge
200,xeegnet_scc,edge,xeegnet_scc_model_reducermode_edge_v200.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_edge_v200.pt,cn_ad,,train,subject_majority,41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,xeegnet_scc_edge
200,xeegnet_scc,edge,xeegnet_scc_model_reducermode_edge_v200.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_edge_v200.pt,cn_ad,,val,window,2293,0.8159616223288269,0.8135312963557677,0.8143899635702951,0.8156040885828102,0.8159782906883914,0.815967800562488,0.8135312963557677,0.8159616223288269,xeegnet_scc_edge
200,xeegnet_scc,edge,xeegnet_scc_model_reducermode_edge_v200.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_edge_v200.pt,cn_ad,,val,subject_majority,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,xeegnet_scc_edge
201,xeegnet,None,xeegnet_model_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_model_v201.pt,cn_ad,,test,window,2527,0.6755045508508113,0.6756993773568359,0.6739765253783945,0.6739146977581234,0.6791947766533784,0.6792679539355821,0.6756993773568359,0.6755045508508113,xeegnet
201,xeegnet,None,xeegnet_model_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_model_v201.pt,cn_ad,,test,subject_majority,12,0.6666666666666666,0.6666666666666667,0.6571428571428571,0.6571428571428571,0.6875,0.6875,0.6666666666666667,0.6666666666666666,xeegnet
201,xeegnet,None,xeegnet_model_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_model_v201.pt,cn_ad,,train,window,8211,0.9113384484228474,0.9092290988711749,0.9097031191899104,0.9112851707283807,0.9102139426945262,0.9112674892533127,0.9092290988711749,0.9113384484228474,xeegnet
201,xeegnet,None,xeegnet_model_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_model_v201.pt,cn_ad,,train,subject_majority,41,0.9512195121951219,0.9583333333333333,0.9504830917874396,0.951514080358195,0.9473684210526316,0.956354300385109,0.9583333333333333,0.9512195121951219,xeegnet
201,xeegnet,None,xeegnet_model_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_model_v201.pt,cn_ad,,val,window,2544,0.7142295597484277,0.709658187599364,0.7103879104684918,0.7126955223226513,0.7142187709198018,0.7142234022218461,0.709658187599364,0.7142295597484277,xeegnet
201,xeegnet,None,xeegnet_model_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_model_v201.pt,cn_ad,,val,subject_majority,12,0.75,0.75,0.7482517482517483,0.7482517482517483,0.7571428571428571,0.7571428571428571,0.75,0.75,xeegnet
201,xeegnet_scc,mean,xeegnet_scc_model_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_v201.pt,cn_ad,,test,window,2527,0.8116343490304709,0.8115430149960536,0.8114004059074842,0.8114188059283933,0.812973767904541,0.8129189378921521,0.8115430149960536,0.8116343490304709,xeegnet_scc_mean
